N_STREAMS,N_BYTES_PER_STREAM,TOTAL_BYTES,ROUNDTRIP_TIME_NS
100,4110,822000,2745040
100,4120,824000,2650694
100,4130,826000,2795384
100,4140,828000,3054974
100,4150,830000,2604186
100,4160,832000,2518793
100,4170,834000,2891689
100,4180,836000,3034457
100,4190,838000,2655735
100,4200,840000,2775331
100,4210,842000,2700231
100,4220,844000,3123247
100,4230,846000,2555214
100,4240,848000,2395178
100,4250,850000,2699167
100,4260,852000,3305692
100,4270,854000,2735707
100,4280,856000,2698022
100,4290,858000,2706309
100,4300,860000,3157896
100,4310,862000,3138722
100,4320,864000,2725571
100,4330,866000,2820958
100,4340,868000,3292058
100,4350,870000,2658761
100,4360,872000,2815548
100,4370,874000,3074278
100,4380,876000,3013267
100,4390,878000,2752829
100,4400,880000,3257072
100,4410,882000,2915306
100,4420,884000,2859755
100,4430,886000,3063045
100,4440,888000,2755232
100,4450,890000,3148479
100,4460,892000,3383232
100,4470,894000,3019561
100,4480,896000,3075110
100,4490,898000,2808614
100,4500,900000,3362221
100,4510,902000,3121800
100,4520,904000,2975971
100,4530,906000,3187353
100,4540,908000,2972272
100,4550,910000,2913463
100,4560,912000,3009275
100,4570,914000,2705563
100,4580,916000,2992219
100,4590,918000,5928738
100,4600,920000,2520079
100,4610,922000,2491505
100,4620,924000,2503556
100,4630,926000,3138941
100,4640,928000,2819069
100,4650,930000,3336537
100,4660,932000,2792071
100,4670,934000,2718720
100,4680,936000,2807779
100,4690,938000,4119149
100,4700,940000,2965188
100,4710,942000,2927771
100,4720,944000,2935357
100,4730,946000,2911177
100,4740,948000,3000895
100,4750,950000,3188918
100,4760,952000,2949541
100,4770,954000,3850192
100,4780,956000,2841777
100,4790,958000,2944373
100,4800,960000,2665117
100,4810,962000,3671581
100,4820,964000,2661427
100,4830,966000,3041321
100,4840,968000,2742046
100,4850,970000,2540131
100,4860,972000,2561918
100,4870,974000,2991783
100,4880,976000,3106465
100,4890,978000,2569561
100,4900,980000,3073050
100,4910,982000,2983070
100,4920,984000,3034289
100,4930,986000,2848711
100,4940,988000,2451781
100,4950,990000,2533541
100,4960,992000,2416011
100,4970,994000,2621542
100,4980,996000,2890712
100,4990,998000,2844517
100,5000,1000000,2676991
100,5010,1002000,3633061
100,5020,1004000,2840595
100,5030,1006000,3048616
100,5040,1008000,2845380
100,5050,1010000,3202909
100,5060,1012000,2921677
100,5070,1014000,2677365
100,5080,1016000,2945603
100,5090,1018000,3024802
100,5100,1020000,3097940
100,5110,1022000,2695773
100,5120,1024000,2778848
100,5130,1026000,3438288
100,5140,1028000,3504267
100,5150,1030000,3419056
100,5160,1032000,3037024
100,5170,1034000,3273744
100,5180,1036000,2777320
100,5190,1038000,2876135
100,5200,1040000,2964590
100,5210,1042000,2764691
100,5220,1044000,3144884
100,5230,1046000,2853274
100,5240,1048000,2697627
100,5250,1050000,3306604
100,5260,1052000,3507478
100,5270,1054000,3149706
100,5280,1056000,3024987
100,5290,1058000,3036736
100,5300,1060000,2868226
100,5310,1062000,3380926
100,5320,1064000,3237302
100,5330,1066000,3072333
100,5340,1068000,2932024
100,5350,1070000,2934625
100,5360,1072000,2958713
100,5370,1074000,3367651
